,DISTRICT_NAME,Value,Crop,Metric,Year
274,Palpa,250,BARLEY,AREA,1919-8283
275,Panchthar,300,BARLEY,AREA,1919-8283
276,Parbat,310,BARLEY,AREA,1919-8283
277,Parsa,300,BARLEY,AREA,1919-8283
278,Pyuthan,200,BARLEY,AREA,1919-8283
279,Ramechhap,100,BARLEY,AREA,1919-8283
280,Rasuwa,400,BARLEY,AREA,1919-8283
281,Rautahat,740,BARLEY,AREA,1919-8283
282,Rolpa,490,BARLEY,AREA,1919-8283
283,Rukum,700,BARLEY,AREA,1919-8283
284,Rupandehi,110,BARLEY,AREA,1919-8283
285,Salyan,1000,BARLEY,AREA,1919-8283
286,Sankhuwasabha,240,BARLEY,AREA,1919-8283
287,Saptari,60,BARLEY,AREA,1919-8283
288,Sarlahi,230,BARLEY,AREA,1919-8283
289,Sindhuli,220,BARLEY,AREA,1919-8283
290,Sindhupalchok,320,BARLEY,AREA,1919-8283
291,Siraha,20,BARLEY,AREA,1919-8283
292,Solukhumbu,550,BARLEY,AREA,1919-8283
293,Sunsari,40,BARLEY,AREA,1919-8283
294,Surkhet,1390,BARLEY,AREA,1919-8283
295,Syangja,50,BARLEY,AREA,1919-8283
296,Tanahu,50,BARLEY,AREA,1919-8283
297,Taplejung,60,BARLEY,AREA,1919-8283
298,Tehrathum,120,BARLEY,AREA,1919-8283
299,Udayapur,20,BARLEY,AREA,1919-8283
300,Achham,500,BARLEY,AREA,1919-8384
301,Arghakhanchi,300,BARLEY,AREA,1919-8384
302,Baglung,150,BARLEY,AREA,1919-8384
303,Baitadi,500,BARLEY,AREA,1919-8384
304,Bajhang,700,BARLEY,AREA,1919-8384
305,Bajura,710,BARLEY,AREA,1919-8384
306,Banke,90,BARLEY,AREA,1919-8384
307,Bara,120,BARLEY,AREA,1919-8384
308,Bardiya,40,BARLEY,AREA,1919-8384
309,Bhaktapur,20,BARLEY,AREA,1919-8384
310,Bhojpur,60,BARLEY,AREA,1919-8384
311,Chitwan,100,BARLEY,AREA,1919-8384
312,Dadeldhura,650,BARLEY,AREA,1919-8384
313,Dailekh,700,BARLEY,AREA,1919-8384
314,Dang,100,BARLEY,AREA,1919-8384
315,Darchula,1000,BARLEY,AREA,1919-8384
316,Dhading,280,BARLEY,AREA,1919-8384
317,Dhankuta,30,BARLEY,AREA,1919-8384
318,Dhanusa,510,BARLEY,AREA,1919-8384
319,Dolakha,300,BARLEY,AREA,1919-8384
320,Dolpa,500,BARLEY,AREA,1919-8384
321,Doti,400,BARLEY,AREA,1919-8384
322,Gorkha,230,BARLEY,AREA,1919-8384
323,Gulmi,110,BARLEY,AREA,1919-8384
324,Humla,150,BARLEY,AREA,1919-8384
325,Ilam,60,BARLEY,AREA,1919-8384
326,Jajarkot,800,BARLEY,AREA,1919-8384
327,Jhapa,10,BARLEY,AREA,1919-8384
328,Jumla,1100,BARLEY,AREA,1919-8384
329,Kailali,100,BARLEY,AREA,1919-8384
330,Kalikot,690,BARLEY,AREA,1919-8384
331,Kanchanpur,150,BARLEY,AREA,1919-8384
332,Kapilbastu,100,BARLEY,AREA,1919-8384
333,Kaski,50,BARLEY,AREA,1919-8384
334,Kathmandu,10,BARLEY,AREA,1919-8384
335,Kavre,300,BARLEY,AREA,1919-8384
336,Khotang,150,BARLEY,AREA,1919-8384
337,Lalitpur,40,BARLEY,AREA,1919-8384
338,Lamjung,220,BARLEY,AREA,1919-8384
339,Mahottari,580,BARLEY,AREA,1919-8384
340,Makwanpur,240,BARLEY,AREA,1919-8384
341,Manang,590,BARLEY,AREA,1919-8384
342,Morang,80,BARLEY,AREA,1919-8384
343,Mugu,670,BARLEY,AREA,1919-8384
344,Mustang,900,BARLEY,AREA,1919-8384
345,Myagdi,270,BARLEY,AREA,1919-8384
346,Nawalparasi,70,BARLEY,AREA,1919-8384
347,Nuwakot,90,BARLEY,AREA,1919-8384
348,Okhaldhunga,90,BARLEY,AREA,1919-8384
349,Palpa,300,BARLEY,AREA,1919-8384
350,Panchthar,300,BARLEY,AREA,1919-8384
351,Parbat,360,BARLEY,AREA,1919-8384
352,Parsa,340,BARLEY,AREA,1919-8384
353,Pyuthan,200,BARLEY,AREA,1919-8384
354,Ramechhap,300,BARLEY,AREA,1919-8384
355,Rasuwa,100,BARLEY,AREA,1919-8384
356,Rautahat,2050,BARLEY,AREA,1919-8384
357,Rolpa,490,BARLEY,AREA,1919-8384
358,Rukum,700,BARLEY,AREA,1919-8384
359,Rupandehi,110,BARLEY,AREA,1919-8384
360,Salyan,1000,BARLEY,AREA,1919-8384
361,Sankhuwasabha,240,BARLEY,AREA,1919-8384
362,Saptari,60,BARLEY,AREA,1919-8384
363,Sarlahi,270,BARLEY,AREA,1919-8384
364,Sindhuli,360,BARLEY,AREA,1919-8384
365,Sindhupalchok,320,BARLEY,AREA,1919-8384
366,Siraha,20,BARLEY,AREA,1919-8384
367,Solukhumbu,550,BARLEY,AREA,1919-8384
368,Sunsari,40,BARLEY,AREA,1919-8384
369,Surkhet,810,BARLEY,AREA,1919-8384
370,Syangja,50,BARLEY,AREA,1919-8384
371,Tanahu,50,BARLEY,AREA,1919-8384
372,Taplejung,60,BARLEY,AREA,1919-8384
373,Tehrathum,120,BARLEY,AREA,1919-8384
374,Udayapur,20,BARLEY,AREA,1919-8384
375,Achham,820,BARLEY,AREA,1919-8485
376,Arghakhanchi,270,BARLEY,AREA,1919-8485
377,Baglung,300,BARLEY,AREA,1919-8485
378,Baitadi,450,BARLEY,AREA,1919-8485
379,Bajhang,810,BARLEY,AREA,1919-8485
380,Bajura,920,BARLEY,AREA,1919-8485
381,Banke,100,BARLEY,AREA,1919-8485
382,Bara,470,BARLEY,AREA,1919-8485
383,Bardiya,50,BARLEY,AREA,1919-8485
384,Bhaktapur,20,BARLEY,AREA,1919-8485
385,Bhojpur,80,BARLEY,AREA,1919-8485
386,Chitwan,20,BARLEY,AREA,1919-8485
387,Dadeldhura,900,BARLEY,AREA,1919-8485
388,Dailekh,950,BARLEY,AREA,1919-8485
389,Dang,120,BARLEY,AREA,1919-8485
390,Darchula,950,BARLEY,AREA,1919-8485
391,Dhading,300,BARLEY,AREA,1919-8485
392,Dhankuta,50,BARLEY,AREA,1919-8485
393,Dhanusa,140,BARLEY,AREA,1919-8485
394,Dolakha,250,BARLEY,AREA,1919-8485
395,Dolpa,450,BARLEY,AREA,1919-8485
396,Doti,450,BARLEY,AREA,1919-8485
397,Gorkha,240,BARLEY,AREA,1919-8485
398,Gulmi,210,BARLEY,AREA,1919-8485
399,Humla,320,BARLEY,AREA,1919-8485
400,Ilam,80,BARLEY,AREA,1919-8485
401,Jajarkot,880,BARLEY,AREA,1919-8485
402,Jhapa,10,BARLEY,AREA,1919-8485
403,Jumla,1350,BARLEY,AREA,1919-8485
404,Kailali,210,BARLEY,AREA,1919-8485
405,Kalikot,870,BARLEY,AREA,1919-8485
406,Kanchanpur,280,BARLEY,AREA,1919-8485
407,Kapilbastu,50,BARLEY,AREA,1919-8485
408,Kaski,50,BARLEY,AREA,1919-8485
409,Kathmandu,10,BARLEY,AREA,1919-8485
410,Kavre,320,BARLEY,AREA,1919-8485
411,Khotang,130,BARLEY,AREA,1919-8485
412,Lalitpur,20,BARLEY,AREA,1919-8485
413,Lamjung,200,BARLEY,AREA,1919-8485
414,Mahottari,110,BARLEY,AREA,1919-8485
415,Makwanpur,600,BARLEY,AREA,1919-8485
416,Manang,700,BARLEY,AREA,1919-8485
417,Morang,50,BARLEY,AREA,1919-8485
418,Mugu,980,BARLEY,AREA,1919-8485
419,Mustang,950,BARLEY,AREA,1919-8485
420,Myagdi,250,BARLEY,AREA,1919-8485
421,Nawalparasi,50,BARLEY,AREA,1919-8485
422,Nuwakot,50,BARLEY,AREA,1919-8485
423,Okhaldhunga,100,BARLEY,AREA,1919-8485
424,Palpa,200,BARLEY,AREA,1919-8485
425,Panchthar,450,BARLEY,AREA,1919-8485
426,Parbat,300,BARLEY,AREA,1919-8485
427,Parsa,160,BARLEY,AREA,1919-8485
428,Pyuthan,310,BARLEY,AREA,1919-8485
429,Ramechhap,320,BARLEY,AREA,1919-8485
430,Rasuwa,140,BARLEY,AREA,1919-8485
431,Rautahat,2000,BARLEY,AREA,1919-8485
432,Rolpa,610,BARLEY,AREA,1919-8485
433,Rukum,850,BARLEY,AREA,1919-8485
434,Rupandehi,40,BARLEY,AREA,1919-8485
435,Salyan,950,BARLEY,AREA,1919-8485
436,Sankhuwasabha,250,BARLEY,AREA,1919-8485
437,Saptari,60,BARLEY,AREA,1919-8485
438,Sarlahi,250,BARLEY,AREA,1919-8485
439,Sindhuli,300,BARLEY,AREA,1919-8485
440,Sindhupalchok,400,BARLEY,AREA,1919-8485
441,Siraha,20,BARLEY,AREA,1919-8485
442,Solukhumbu,520,BARLEY,AREA,1919-8485
443,Sunsari,50,BARLEY,AREA,1919-8485
444,Surkhet,900,BARLEY,AREA,1919-8485
445,Syangja,50,BARLEY,AREA,1919-8485
446,Tanahu,50,BARLEY,AREA,1919-8485
447,Taplejung,120,BARLEY,AREA,1919-8485
448,Tehrathum,130,BARLEY,AREA,1919-8485
449,Udayapur,20,BARLEY,AREA,1919-8485
450,Achham,900,BARLEY,AREA,1919-8586
451,Arghakhanchi,260,BARLEY,AREA,1919-8586
452,Baglung,250,BARLEY,AREA,1919-8586
453,Baitadi,550,BARLEY,AREA,1919-8586
454,Bajhang,900,BARLEY,AREA,1919-8586
455,Bajura,1000,BARLEY,AREA,1919-8586
456,Banke,100,BARLEY,AREA,1919-8586
457,Bara,180,BARLEY,AREA,1919-8586
458,Bardiya,50,BARLEY,AREA,1919-8586
459,Bhaktapur,10,BARLEY,AREA,1919-8586
460,Bhojpur,80,BARLEY,AREA,1919-8586
461,Chitwan,300,BARLEY,AREA,1919-8586
462,Dadeldhura,800,BARLEY,AREA,1919-8586
463,Dailekh,1100,BARLEY,AREA,1919-8586
